t,sd1(t)
0,0.894793032037488
1,1.121480661725893
2,1.5803648233871255
3,1.078764966513571
4,0.732417323596283
5,1.3301051647807092
6,1.1739865853596996
7,1.0330855229000218
8,0.9148888393637291
9,0.7383288873094784
10,1.0842675081579771
11,1.6631477522864022
12,1.7304603372188394
13,1.3318650236679404
14,1.1468179039993083
15,1.6052200769337834
16,1.5936268214471514
17,1.6174715078832618
18,1.137535870085438
19,1.6922115588572915
20,1.8805161094824374
21,1.964818895847332
22,1.4221272093372768
23,1.0523060122421326
24,0.8558476330750762
25,1.1385988573366497
26,1.2269858599660914
27,0.9427722037819928
28,1.1794418713659756
29,1.5942290309026304
30,1.0808523411964996
31,1.1167605295729408
32,1.5200159691464448
33,1.5549293608190509
34,1.5372513769584877
35,0.994139927314976
36,1.1317853677723875
37,1.4419148259447438
38,1.4304769327762807
39,1.0613068327785182
40,1.2289806222213056
41,1.2566515010657153
42,1.121555599156448
43,1.0424830135710814
44,1.2762622862620137
45,1.1750914762347566
46,1.1649826182099288
47,1.2096110998889376
48,2.0470107693472754
49,2.36971094773654
50,2.280560365646563
51,2.705081669923903
52,2.952312145399626
53,3.289028004416496
54,3.834861950277946
55,3.924736823835767
56,4.407393176531502
57,5.193276325249629
58,5.577496010414244
59,6.3553823070258195
60,6.118979747600358
61,6.910201161129511
62,7.049919737776907
63,7.4800468099813715
64,7.795258425307356
65,8.446155380474162
66,8.131167340580959
67,8.208770137961181
68,9.141683486366428
69,9.584054722329881
70,10.238925079530047
71,10.668622710960546
72,11.167070964102438
73,10.972636783126898
74,11.115741258454047
75,11.320511886732108
76,11.74096213525621
77,12.073083556828033
78,12.480492090322556
79,12.700591618050334
80,13.380978134377637
81,13.358252817538226
82,13.478110505772033
83,13.934289432944976
84,13.687324423933017
85,13.51170213465813
86,13.373217017248697
87,13.646091051977331
88,14.015270095913197
89,13.866473506519771
90,13.940730486586839
91,13.810248981626446
92,13.659368145168655
93,14.078119319875121
94,14.357933775601715
95,13.747369569189601
96,13.901190206779843
97,14.417798175157259
98,13.977504595692738
99,14.069011709891768
100,14.562868127887548
101,14.014121231008327
102,14.333119127174918
103,14.562992242198549
104,14.545226911076506
105,14.547561291076262
106,14.040660961105292
107,13.74518061160331
108,13.301208105258976
109,13.220698797346975
110,13.82106345055687
111,13.415799277775125
112,13.826214236709989
113,13.284440838916879
114,13.369229236467117
115,13.32450108387141
116,13.44016953603795
117,13.239818351268804
118,13.139037741512778
119,12.707541243515655
120,12.602573043240215
121,12.712544118229497
122,13.015873009451239
123,13.369541708081922
124,13.449270253280497
125,13.649172257935955
126,13.665638930444945
127,13.233519955390726
128,12.735456764796435
129,12.683819451839607
130,12.440173456214277
131,11.917865298854574
132,11.756738440303169
133,11.856547739686828
134,12.080232250315564
135,11.952952595425932
136,11.915938783802524
137,11.581289019313251
138,11.426904273549898
139,11.617720322950275
140,11.107906954402173
141,10.366899598670052
142,10.29998338121392
143,10.328076233620608
144,10.449562610778052
145,9.937789059386134
146,9.170556365135738
147,9.121679607288938
148,9.190584546740865
149,8.48660864841686
150,8.486046657757504
151,8.85001559012427
152,8.555811162809695
153,8.582799566347855
154,8.262268892857547
155,8.316241774731832
156,8.02492447696545
157,7.7287050155124755
158,7.086041900287135
159,6.4838028553661
160,6.34807745110735
161,6.694576834097469
162,6.59035004258639
163,6.675136125246877
164,6.976524687032372
165,7.2197421919304
166,6.962341312000584
167,6.4925738731997695
168,6.25965961867409
169,6.331720387957631
170,6.28992430148254
171,5.741806303002818
172,5.95144316731827
173,6.369009140111489
174,5.7932142174567725
175,5.674531386407611
176,5.6495009010749495
177,5.721190866452898
178,5.824921139657477
179,5.519897252612665
180,5.655371010468711
181,4.781904525923619
182,4.387511599597015
183,4.785735063788667
184,4.524826466162821
185,4.486589721346733
186,4.33463709856756
187,4.424523889905092
188,4.182147092754018
189,3.974087186676325
190,4.1359197200140825
191,4.232188770749461
192,4.166085239079072
193,4.438575890687876
194,4.587866999741411
195,5.01982489759037
196,4.7128414992820815
197,4.062455271217538
198,3.5508437896747393
199,3.7748049677993936
200,3.71899180075966
201,4.09656433001135
202,4.195746409778126
203,3.854896898078455
204,3.8016455134709464
205,3.828720318852195
206,3.6497685316506745
207,3.432663387293123
208,3.4136785435507666
209,3.386798567055478
210,3.1467007872127164
211,3.075350618272647
212,2.8679050936597266
213,2.913030981402083
214,2.904986508500313
215,2.714364797359306
216,2.4048236031289356
217,2.3425785025688834
218,2.1738570431611834
219,1.9484923041893667
220,2.0643395022582123
221,2.0824939467221126
222,2.153376131814244
223,2.8177777393800594
224,2.7259009907568714
225,2.304238744140646
226,2.2711915371559774
227,1.9553819742372116
228,2.442329075278018
229,2.3140773920014217
230,2.3717915369676392
231,2.5723975719823855
232,2.588704743876737
233,2.506045717270319
234,2.185680811606008
235,2.49292152967052
236,2.4608816209250994
237,2.2056640574404827
238,1.6493322658683556
239,2.09194292149225
240,1.975627266298045
241,2.1687083728511434
242,2.063493518416192
243,2.09195378988346
244,1.7581124129900203
245,1.837149882744203
246,1.8007152674235238
247,2.2436460828537155
248,2.048437041300117
249,2.265904240157889
250,2.0846485188330814
251,1.7815595538495308
252,2.2741164500581004
253,2.2554893038415003
254,2.2555188484161177
255,2.114191670664286
256,2.2831244003470395
257,2.4077760676438613
258,2.3714218158535108
259,1.8922713729165768
260,1.1950900332825765
261,1.4804678607947233
262,1.8673755066043867
263,1.6654247103704756
264,2.041613752820953
265,1.6664149217944222
266,2.2695536363607722
267,2.0773280004354353
268,2.276809614064228
269,2.3252586088837424
270,1.7862869575150073
271,1.4718964653475775
272,1.4539559835415181
273,0.9949389863976574
274,1.1717208280303661
275,1.669051625602991
276,1.3984670141435163
277,0.9915348716809199
278,1.2311389089425635
279,1.4929973359854811
280,1.8224068739409693
281,2.085510892005014
282,2.3060966311701803
283,1.9245686653226874
284,1.7702491690924007
285,1.9530651707275815
286,1.6141631310047355
287,1.6467393794452023
288,1.44592356030569
289,1.3007828007904423
290,1.489184175129689
291,1.1174601975092948
292,1.3748983132775394
293,1.6277125332653997
294,1.5479033909783007
295,1.4526995827714022
296,1.4693454413908058
297,1.742818780575041
298,1.6326019952910287
299,1.7570706804503429
300,1.6553959306143944
301,1.94544233402888
302,1.1839620872773267
303,1.2621355669240564
